run_id,date,balance_before,balance_after,day_pnl_usd,day_pnl_pct,ranked_count,selected_count,trades,wins,breakevens,losses,liquidations,max_drawdown_pct
2026-03-27_final_1774728704,2026-03-27,800.00,800.00,0.00,0.00,2,2,0,0,0,0,0,0.0000
2026-03-28_final_1774756826,2026-03-28,800.00,800.00,0.00,0.00,1,1,0,0,0,0,0,0.0000
2026-03-29_final_1774843372,2026-03-29,800.00,823.65,23.65,23.65,5,5,12,4,3,5,0,0.0000
2026-03-30_final_1774929822,2026-03-30,823.65,823.65,0.00,0.00,7,7,0,0,0,0,0,0.0000
2026-03-31_final_1775032963,2026-03-31,823.65,823.65,0.00,0.00,4,4,0,0,0,0,0,0.0000
2026-03-28_final_1775099066,2026-03-28,800.00,800.00,0.00,0.00,0,0,0,0,0,0,0,0.0000
2026-03-29_final_1775099066,2026-03-29,800.00,811.74,11.74,11.74,1,1,2,1,0,1,0,0.0000
2026-03-30_final_1775099066,2026-03-30,811.74,811.74,0.00,0.00,2,2,0,0,0,0,0,0.0000
2026-03-31_final_1775099066,2026-03-31,811.74,811.74,0.00,0.00,1,1,0,0,0,0,0,0.0000
2026-04-01_final_1775099066,2026-04-01,811.74,874.77,63.03,63.03,5,5,7,3,2,2,0,0.0000
2026-03-28_final_1775099076,2026-03-28,800.00,800.00,0.00,0.00,0,0,0,0,0,0,0,0.0000
2026-03-29_final_1775099076,2026-03-29,800.00,811.74,11.74,11.74,1,1,2,1,0,1,0,0.0000
2026-03-30_final_1775099076,2026-03-30,811.74,811.74,0.00,0.00,2,2,0,0,0,0,0,0.0000
2026-03-31_final_1775099076,2026-03-31,811.74,811.74,0.00,0.00,1,1,0,0,0,0,0,0.0000
2026-04-01_final_1775099076,2026-04-01,811.74,874.77,63.03,63.03,5,5,7,3,2,2,0,0.0000
2026-04-01_final_1775102603,2026-04-01,823.65,886.68,63.03,63.03,5,5,7,3,2,2,0,0.0000
2026-04-03_final_1775320987,2026-04-03,886.68,884.54,-2.14,-6.49,6,3,3,1,0,2,0,0.2416
